user_id,week_number,employment_status,planned_hours_per_week,has_mentor,study_group_size,prior_experience,primary_device,course_difficulty,actual_hours_studied,exercise_success_rate,forum_posts,forum_views,lessons_completed_pct,dropped_out,week_start_date,is_week_3,is_working_full_time,is_beginner,has_support
1,1,работает полный день,20,False,3,новичок,desktop,2.1,11.9,0.92,2.0,8,100.0,False,2025-09-01,0,1,1,0
1,2,работает полный день,20,False,3,новичок,desktop,2.3,11.7,0.79,0.0,0,79.0,False,2025-09-08,0,1,1,0
1,3,работает полный день,20,False,3,новичок,desktop,8.3,1.8,0.15,0.0,0,12.0,True,2025-09-15,1,1,1,0
1,4,работает полный день,20,False,3,новичок,desktop,6.6,6.5,0.7,,0,68.0,True,2025-09-22,0,1,1,0
1,5,работает полный день,20,False,3,новичок,desktop,6.2,6.9,0.58,0.0,0,48.0,True,2025-09-29,0,1,1,0
1,6,работает полный день,20,False,3,новичок,desktop,6.9,6.1,0.66,,0,63.0,True,2025-10-06,0,1,1,0
1,7,работает полный день,20,False,3,новичок,desktop,5.2,8.2,0.69,0.0,0,67.0,True,2025-10-13,0,1,1,0
1,8,работает полный день,20,False,3,новичок,desktop,6.0,7.2,0.56,0.0,0,64.0,True,2025-10-20,0,1,1,0
1,9,работает полный день,20,False,3,новичок,desktop,5.4,8.0,0.7,0.0,0,68.0,True,2025-10-27,0,1,1,0
1,10,работает полный день,20,False,3,новичок,desktop,6.1,7.0,0.01830962033361423,0.0,0,63.0,True,2025-11-03,0,1,1,0
1,11,работает полный день,20,False,3,новичок,desktop,6.9,6.1,0.73,0.0,0,75.0,True,2025-11-10,0,1,1,0
1,12,работает полный день,20,False,3,новичок,desktop,14.522285007924317,8.3,0.62,0.0,0,58.0,True,2025-11-17,0,1,1,0
2,1,работает неполный день,12,False,3,новичок,desktop,2.2,9.4,0.75,1.0,5,69.0,True,2025-09-01,0,0,1,0
